Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI 12-29-2014   9:59:06
Solution file C:\Users\plane\Documents\Superfish\HPRF.T35.
Memory used for HPRF.T35 arrays:     157.872 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-4.064,0.0)
(Zmax,Rmax) = (4.064,11.43)
Z and R increments:   100   100

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  0.650240       0.00000      4.438125E+01  0.000000E+00  4.438125E+01  0.000000E+00
  0.731520       0.00000      4.691245E+01  0.000000E+00  4.691245E+01  0.000000E+00
  0.812800       0.00000      4.917115E+01  0.000000E+00  4.917115E+01  0.000000E+00
  0.894080       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.975360       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.05664       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.13792       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.21920       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.30048       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.38176       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.46304       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.54432       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.62560       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.70688       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.78816       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.86944       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.95072       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.03200       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.11328       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.19456       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.27584       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.35712       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.43840       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.51968       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.60096       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.68224       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.76352       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.84480       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   2.92608       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.00736       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.08864       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.16992       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.25120       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.33248       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.41376       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.49504       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.57632       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.65760       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.73888       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.82016       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.90144       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   3.98272       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   4.06400       0.00000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -4.06400      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.98272      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.90144      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.82016      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.73888      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.65760      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.57632      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.49504      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.41376      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.33248      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.25120      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.16992      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.08864      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -3.00736      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.92608      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.84480      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.76352      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.68224      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.60096      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.51968      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.43840      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.35712      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.27584      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.19456      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.11328      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -2.03200      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.95072      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.86944      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.78816      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.70688      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -1.62560      0.114300      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
